[rosmaster.main][INFO] 2025-09-09 14:10:12,602: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-09-09 14:10:12,602: Starting ROS Master Node
[xmlrpc][INFO] 2025-09-09 14:10:12,604: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2025-09-09 14:10:12,604: Started XML-RPC server [http://10.237.54.207:11311/]
[rosmaster.master][INFO] 2025-09-09 14:10:12,605: Master initialized: port[11311], uri[http://10.237.54.207:11311/]
[xmlrpc][INFO] 2025-09-09 14:10:12,605: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-09-09 14:10:12,717: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 14:10:12,721: +PARAM [/roslaunch/uris/host_10_237_54_207__40399] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 14:10:12,868: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 14:10:12,868: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 14:10:13,049: +SERVICE [/rosout/get_loggers] /rosout http://10.237.54.207:44155/
[rosmaster.master][INFO] 2025-09-09 14:10:13,051: +SERVICE [/rosout/set_logger_level] /rosout http://10.237.54.207:44155/
[rosmaster.master][INFO] 2025-09-09 14:10:13,055: +PUB [/rosout_agg] /rosout http://10.237.54.207:44155/
[rosmaster.master][INFO] 2025-09-09 14:10:13,064: +SUB [/rosout] /rosout http://10.237.54.207:44155/
[rosmaster.master][INFO] 2025-09-09 14:13:04,480: +PARAM [/roslaunch/uris/host_10_237_54_207__44503] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 14:13:04,492: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 14:13:04,493: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 14:13:04,493: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 14:13:04,493: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 14:13:04,493: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 14:13:04,494: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 14:13:04,494: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 14:13:04,494: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 14:13:04,494: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 14:13:04,495: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 14:13:04,495: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 14:13:04,495: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 14:13:04,495: +PARAM [/rosbridge_websocket/websocket_ping_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 14:13:04,495: +PARAM [/rosbridge_websocket/websocket_external_port] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 14:13:04,496: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 14:13:04,496: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 14:13:04,496: +PARAM [/rosbridge_websocket/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 14:13:04,496: +PARAM [/rosbridge_websocket/bson_only_mode] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 14:13:04,497: +PARAM [/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 14:13:04,497: +PARAM [/rosapi/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 14:13:04,497: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 14:13:04,498: +PARAM [/JOYSTICK/autorepeat_rate] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 14:13:04,498: +PARAM [/JOYSTICK/joy_node/dev] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 14:13:04,937: +PUB [/rosout] /JOYSTICK http://10.237.54.207:34873/
[rosmaster.master][INFO] 2025-09-09 14:13:04,946: +SERVICE [/JOYSTICK/get_loggers] /JOYSTICK http://10.237.54.207:34873/
[rosmaster.master][INFO] 2025-09-09 14:13:04,950: +SERVICE [/JOYSTICK/set_logger_level] /JOYSTICK http://10.237.54.207:34873/
[rosmaster.master][INFO] 2025-09-09 14:13:04,960: +PUB [/diagnostics] /JOYSTICK http://10.237.54.207:34873/
[rosmaster.master][INFO] 2025-09-09 14:13:04,967: +CACHEDPARAM [/JOYSTICK/diagnostic_period] by /JOYSTICK
[rosmaster.master][INFO] 2025-09-09 14:13:04,971: +PUB [/joy] /JOYSTICK http://10.237.54.207:34873/
[rosmaster.master][INFO] 2025-09-09 14:13:04,990: +SUB [/joy/set_feedback] /JOYSTICK http://10.237.54.207:34873/
[rosmaster.master][INFO] 2025-09-09 14:13:04,998: publisherUpdate[/rosout] -> http://10.237.54.207:44155/ ['http://10.237.54.207:34873/']
[rosmaster.master][INFO] 2025-09-09 14:13:05,017: publisherUpdate[/rosout] -> http://10.237.54.207:44155/ ['http://10.237.54.207:34873/']: sec=0.02, result=[1, '', 0]
[rosmaster.master][INFO] 2025-09-09 14:13:05,078: +CACHEDPARAM [/rosout_disable_topics_generation] by /JOYSTICK
[rosmaster.master][INFO] 2025-09-09 14:13:06,475: +PUB [/rosout] /rosapi http://10.237.54.207:37963/
[rosmaster.master][INFO] 2025-09-09 14:13:06,482: +SERVICE [/rosapi/get_loggers] /rosapi http://10.237.54.207:37963/
[rosmaster.master][INFO] 2025-09-09 14:13:06,486: +SERVICE [/rosapi/set_logger_level] /rosapi http://10.237.54.207:37963/
[rosmaster.master][INFO] 2025-09-09 14:13:06,496: +SERVICE [/rosapi/topics] /rosapi http://10.237.54.207:37963/
[rosmaster.master][INFO] 2025-09-09 14:13:06,501: +SERVICE [/rosapi/topics_for_type] /rosapi http://10.237.54.207:37963/
[rosmaster.master][INFO] 2025-09-09 14:13:06,502: publisherUpdate[/rosout] -> http://10.237.54.207:44155/ ['http://10.237.54.207:34873/', 'http://10.237.54.207:37963/']
[rosmaster.master][INFO] 2025-09-09 14:13:06,504: +SERVICE [/rosapi/services] /rosapi http://10.237.54.207:37963/
[rosmaster.master][INFO] 2025-09-09 14:13:06,506: publisherUpdate[/rosout] -> http://10.237.54.207:44155/ ['http://10.237.54.207:34873/', 'http://10.237.54.207:37963/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2025-09-09 14:13:06,509: +SERVICE [/rosapi/services_for_type] /rosapi http://10.237.54.207:37963/
[rosmaster.master][INFO] 2025-09-09 14:13:06,512: +SERVICE [/rosapi/nodes] /rosapi http://10.237.54.207:37963/
[rosmaster.master][INFO] 2025-09-09 14:13:06,515: +SERVICE [/rosapi/node_details] /rosapi http://10.237.54.207:37963/
[rosmaster.master][INFO] 2025-09-09 14:13:06,518: +SERVICE [/rosapi/action_servers] /rosapi http://10.237.54.207:37963/
[rosmaster.master][INFO] 2025-09-09 14:13:06,521: +SERVICE [/rosapi/topic_type] /rosapi http://10.237.54.207:37963/
[rosmaster.master][INFO] 2025-09-09 14:13:06,524: +SERVICE [/rosapi/service_type] /rosapi http://10.237.54.207:37963/
[rosmaster.master][INFO] 2025-09-09 14:13:06,532: +SERVICE [/rosapi/publishers] /rosapi http://10.237.54.207:37963/
[rosmaster.master][INFO] 2025-09-09 14:13:06,535: +SERVICE [/rosapi/subscribers] /rosapi http://10.237.54.207:37963/
[rosmaster.master][INFO] 2025-09-09 14:13:06,538: +SERVICE [/rosapi/service_providers] /rosapi http://10.237.54.207:37963/
[rosmaster.master][INFO] 2025-09-09 14:13:06,542: +SERVICE [/rosapi/service_node] /rosapi http://10.237.54.207:37963/
[rosmaster.master][INFO] 2025-09-09 14:13:06,546: +SERVICE [/rosapi/service_host] /rosapi http://10.237.54.207:37963/
[rosmaster.master][INFO] 2025-09-09 14:13:06,550: +SERVICE [/rosapi/message_details] /rosapi http://10.237.54.207:37963/
[rosmaster.master][INFO] 2025-09-09 14:13:06,553: +PUB [/rosout] /kelpie http://10.237.54.207:44333/
[rosmaster.master][INFO] 2025-09-09 14:13:06,556: +SERVICE [/rosapi/service_request_details] /rosapi http://10.237.54.207:37963/
[rosmaster.master][INFO] 2025-09-09 14:13:06,559: +SERVICE [/rosapi/service_response_details] /rosapi http://10.237.54.207:37963/
[rosmaster.master][INFO] 2025-09-09 14:13:06,563: +SERVICE [/rosapi/set_param] /rosapi http://10.237.54.207:37963/
[rosmaster.master][INFO] 2025-09-09 14:13:06,567: +SERVICE [/kelpie/get_loggers] /kelpie http://10.237.54.207:44333/
[rosmaster.master][INFO] 2025-09-09 14:13:06,571: +SERVICE [/rosapi/get_param] /rosapi http://10.237.54.207:37963/
[rosmaster.master][INFO] 2025-09-09 14:13:06,574: +SERVICE [/kelpie/set_logger_level] /kelpie http://10.237.54.207:44333/
[rosmaster.master][INFO] 2025-09-09 14:13:06,577: +SERVICE [/rosapi/has_param] /rosapi http://10.237.54.207:37963/
[rosmaster.master][INFO] 2025-09-09 14:13:06,580: +SERVICE [/rosapi/search_param] /rosapi http://10.237.54.207:37963/
