[rosmaster.main][INFO] 2025-08-13 16:51:04,947: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-08-13 16:51:04,947: Starting ROS Master Node
[xmlrpc][INFO] 2025-08-13 16:51:04,949: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-08-13 16:51:04,949: Started XML-RPC server [http://localhost:11311/]
[rosmaster.master][INFO] 2025-08-13 16:51:04,950: Master initialized: port[11311], uri[http://localhost:11311/]
[xmlrpc][INFO] 2025-08-13 16:51:04,950: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-08-13 16:51:04,966: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:51:04,970: +PARAM [/roslaunch/uris/host_localhost__37083] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:51:05,106: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:51:05,106: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:51:05,107: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:51:05,107: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:51:05,107: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:51:05,108: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:51:05,108: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:51:05,108: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:51:05,108: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:51:05,109: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:51:05,109: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:51:05,109: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:51:05,109: +PARAM [/rosbridge_websocket/websocket_ping_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:51:05,110: +PARAM [/rosbridge_websocket/websocket_external_port] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:51:05,110: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:51:05,110: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:51:05,110: +PARAM [/rosbridge_websocket/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:51:05,110: +PARAM [/rosbridge_websocket/bson_only_mode] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:51:05,111: +PARAM [/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:51:05,111: +PARAM [/rosapi/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:51:05,113: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:51:05,115: +SERVICE [/rosout/get_loggers] /rosout http://localhost:46483/
[rosmaster.master][INFO] 2025-08-13 16:51:05,118: +SERVICE [/rosout/set_logger_level] /rosout http://localhost:46483/
[rosmaster.master][INFO] 2025-08-13 16:51:05,124: +PUB [/rosout_agg] /rosout http://localhost:46483/
[rosmaster.master][INFO] 2025-08-13 16:51:05,136: +SUB [/rosout] /rosout http://localhost:46483/
[rosmaster.master][INFO] 2025-08-13 16:51:06,812: +PUB [/rosout] /rosapi http://localhost:37819/
[rosmaster.master][INFO] 2025-08-13 16:51:06,820: +SERVICE [/rosapi/get_loggers] /rosapi http://localhost:37819/
[rosmaster.master][INFO] 2025-08-13 16:51:06,823: +SERVICE [/rosapi/set_logger_level] /rosapi http://localhost:37819/
[rosmaster.master][INFO] 2025-08-13 16:51:06,833: +SERVICE [/rosapi/topics] /rosapi http://localhost:37819/
[rosmaster.master][INFO] 2025-08-13 16:51:06,836: +SERVICE [/rosapi/topics_for_type] /rosapi http://localhost:37819/
[rosmaster.master][INFO] 2025-08-13 16:51:06,839: +SERVICE [/rosapi/services] /rosapi http://localhost:37819/
[rosmaster.master][INFO] 2025-08-13 16:51:06,842: +SERVICE [/rosapi/services_for_type] /rosapi http://localhost:37819/
[rosmaster.master][INFO] 2025-08-13 16:51:06,845: +SERVICE [/rosapi/nodes] /rosapi http://localhost:37819/
[rosmaster.master][INFO] 2025-08-13 16:51:06,848: +SERVICE [/rosapi/node_details] /rosapi http://localhost:37819/
[rosmaster.master][INFO] 2025-08-13 16:51:06,851: +SERVICE [/rosapi/action_servers] /rosapi http://localhost:37819/
[rosmaster.master][INFO] 2025-08-13 16:51:06,852: publisherUpdate[/rosout] -> http://localhost:46483/ ['http://localhost:37819/']
[rosmaster.master][INFO] 2025-08-13 16:51:06,856: +SERVICE [/rosapi/topic_type] /rosapi http://localhost:37819/
[rosmaster.master][INFO] 2025-08-13 16:51:06,862: +SERVICE [/rosapi/service_type] /rosapi http://localhost:37819/
[rosmaster.master][INFO] 2025-08-13 16:51:06,866: publisherUpdate[/rosout] -> http://localhost:46483/ ['http://localhost:37819/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-13 16:51:06,866: +SERVICE [/rosapi/publishers] /rosapi http://localhost:37819/
[rosmaster.master][INFO] 2025-08-13 16:51:06,870: +SERVICE [/rosapi/subscribers] /rosapi http://localhost:37819/
[rosmaster.master][INFO] 2025-08-13 16:51:06,873: +SERVICE [/rosapi/service_providers] /rosapi http://localhost:37819/
[rosmaster.master][INFO] 2025-08-13 16:51:06,876: +SERVICE [/rosapi/service_node] /rosapi http://localhost:37819/
[rosmaster.master][INFO] 2025-08-13 16:51:06,880: +SERVICE [/rosapi/service_host] /rosapi http://localhost:37819/
[rosmaster.master][INFO] 2025-08-13 16:51:06,884: +PUB [/rosout] /kelpie http://localhost:36475/
[rosmaster.master][INFO] 2025-08-13 16:51:06,885: +SERVICE [/rosapi/message_details] /rosapi http://localhost:37819/
[rosmaster.master][INFO] 2025-08-13 16:51:06,890: +SERVICE [/rosapi/service_request_details] /rosapi http://localhost:37819/
[rosmaster.master][INFO] 2025-08-13 16:51:06,895: +SERVICE [/rosapi/service_response_details] /rosapi http://localhost:37819/
[rosmaster.master][INFO] 2025-08-13 16:51:06,897: +SERVICE [/kelpie/get_loggers] /kelpie http://localhost:36475/
[rosmaster.master][INFO] 2025-08-13 16:51:06,900: +SERVICE [/rosapi/set_param] /rosapi http://localhost:37819/
[rosmaster.master][INFO] 2025-08-13 16:51:06,901: +SERVICE [/kelpie/set_logger_level] /kelpie http://localhost:36475/
[rosmaster.master][INFO] 2025-08-13 16:51:06,904: +SERVICE [/rosapi/get_param] /rosapi http://localhost:37819/
[rosmaster.master][INFO] 2025-08-13 16:51:06,908: +SERVICE [/rosapi/has_param] /rosapi http://localhost:37819/
[rosmaster.master][INFO] 2025-08-13 16:51:06,910: +SUB [/kelpie/imu] /kelpie http://localhost:36475/
[rosmaster.master][INFO] 2025-08-13 16:51:06,912: +SERVICE [/rosapi/search_param] /rosapi http://localhost:37819/
[rosmaster.master][INFO] 2025-08-13 16:51:06,915: +SERVICE [/rosapi/delete_param] /rosapi http://localhost:37819/
[rosmaster.master][INFO] 2025-08-13 16:51:06,917: +SUB [/kelpie/leg_control/currents] /kelpie http://localhost:36475/
[rosmaster.master][INFO] 2025-08-13 16:51:06,919: +SERVICE [/rosapi/get_param_names] /rosapi http://localhost:37819/
[rosmaster.master][INFO] 2025-08-13 16:51:06,923: +SERVICE [/rosapi/get_time] /rosapi http://localhost:37819/
[rosmaster.master][INFO] 2025-08-13 16:51:06,925: +SUB [/kelpie/battery/voltage] /kelpie http://localhost:36475/
[rosmaster.master][INFO] 2025-08-13 16:51:06,927: +SERVICE [/rosapi/topics_and_raw_types] /rosapi http://localhost:37819/
[rosmaster.master][INFO] 2025-08-13 16:51:06,935: +PUB [/kelpie/leg_control/joint_states] /kelpie http://localhost:36475/
[rosmaster.master][INFO] 2025-08-13 16:51:06,936: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosapi
[rosmaster.master][INFO] 2025-08-13 16:51:06,942: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-08-13 16:51:06,948: +SUB [/kelpie/command_input] /kelpie http://localhost:36475/
[rosmaster.master][INFO] 2025-08-13 16:51:06,952: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-08-13 16:51:06,953: publisherUpdate[/rosout] -> http://localhost:46483/ ['http://localhost:37819/', 'http://localhost:36475/']
[rosmaster.master][INFO] 2025-08-13 16:51:06,957: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-08-13 16:51:06,960: publisherUpdate[/rosout] -> http://localhost:46483/ ['http://localhost:37819/', 'http://localhost:36475/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-13 16:51:06,962: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-08-13 16:51:06,967: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-08-13 16:51:06,971: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-08-13 16:51:06,974: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-08-13 16:51:06,978: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-08-13 16:51:06,981: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-08-13 16:51:07,065: +CACHEDPARAM [/rosout/omit_topics] by /rosout
[rosmaster.master][INFO] 2025-08-13 16:51:07,460: +PUB [/rosout] /rosbridge_websocket http://localhost:43757/
[rosmaster.master][INFO] 2025-08-13 16:51:07,461: publisherUpdate[/rosout] -> http://localhost:46483/ ['http://localhost:37819/', 'http://localhost:36475/', 'http://localhost:43757/']
[rosmaster.master][INFO] 2025-08-13 16:51:07,465: publisherUpdate[/rosout] -> http://localhost:46483/ ['http://localhost:37819/', 'http://localhost:36475/', 'http://localhost:43757/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-13 16:51:07,469: +SERVICE [/rosbridge_websocket/get_loggers] /rosbridge_websocket http://localhost:43757/
[rosmaster.master][INFO] 2025-08-13 16:51:07,472: +SERVICE [/rosbridge_websocket/set_logger_level] /rosbridge_websocket http://localhost:43757/
[rosmaster.master][INFO] 2025-08-13 16:51:07,502: +PUB [/kelpie/leg_control/currents] /hardware http://localhost:40481/
[rosmaster.master][INFO] 2025-08-13 16:51:07,506: +PUB [/kelpie/battery/voltage] /hardware http://localhost:40481/
[rosmaster.master][INFO] 2025-08-13 16:51:07,509: +PUB [/kelpie/imu] /hardware http://localhost:40481/
[rosmaster.master][INFO] 2025-08-13 16:51:07,513: +PUB [/client_count] /rosbridge_websocket http://localhost:43757/
[rosmaster.master][INFO] 2025-08-13 16:51:07,515: +PUB [/connected_clients] /rosbridge_websocket http://localhost:43757/
[rosmaster.master][INFO] 2025-08-13 16:51:07,523: +PARAM [/rosbridge_websocket/actual_port] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-08-13 16:51:07,529: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-08-13 16:51:07,554: publisherUpdate[/kelpie/leg_control/currents] -> http://localhost:36475/ ['http://localhost:40481/']
[rosmaster.master][INFO] 2025-08-13 16:51:07,584: publisherUpdate[/kelpie/leg_control/currents] -> http://localhost:36475/ ['http://localhost:40481/']: sec=0.03, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-13 16:51:07,584: publisherUpdate[/kelpie/battery/voltage] -> http://localhost:36475/ ['http://localhost:40481/']
[rosmaster.master][INFO] 2025-08-13 16:51:07,591: +PUB [/rosout] /hardware http://localhost:40481/
[rosmaster.master][INFO] 2025-08-13 16:51:07,596: publisherUpdate[/kelpie/battery/voltage] -> http://localhost:36475/ ['http://localhost:40481/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-13 16:51:07,596: publisherUpdate[/kelpie/imu] -> http://localhost:36475/ ['http://localhost:40481/']
[rosmaster.master][INFO] 2025-08-13 16:51:07,599: +SERVICE [/hardware/get_loggers] /hardware http://localhost:40481/
[rosmaster.master][INFO] 2025-08-13 16:51:07,602: +SERVICE [/hardware/set_logger_level] /hardware http://localhost:40481/
[rosmaster.master][INFO] 2025-08-13 16:51:07,608: publisherUpdate[/kelpie/imu] -> http://localhost:36475/ ['http://localhost:40481/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-13 16:51:07,608: publisherUpdate[/rosout] -> http://localhost:46483/ ['http://localhost:37819/', 'http://localhost:36475/', 'http://localhost:43757/', 'http://localhost:40481/']
[rosmaster.master][INFO] 2025-08-13 16:51:07,611: publisherUpdate[/rosout] -> http://localhost:46483/ ['http://localhost:37819/', 'http://localhost:36475/', 'http://localhost:43757/', 'http://localhost:40481/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-13 16:51:07,661: +SUB [/kelpie/leg_control/joint_states] /hardware http://localhost:40481/
[rosmaster.master][INFO] 2025-08-13 16:51:07,672: +SUB [/joy] /hardware http://localhost:40481/
[rosmaster.master][INFO] 2025-08-13 16:51:07,675: +PUB [/kelpie/command_input] /hardware http://localhost:40481/
[rosmaster.master][INFO] 2025-08-13 16:51:07,712: publisherUpdate[/kelpie/command_input] -> http://localhost:36475/ ['http://localhost:40481/']
[rosmaster.master][INFO] 2025-08-13 16:51:07,716: publisherUpdate[/kelpie/command_input] -> http://localhost:36475/ ['http://localhost:40481/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-13 16:51:20,646: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-08-13 16:51:21,317: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-08-13 16:51:21,480: +SUB [/kelpie/leg_control/joint_states] /rosbridge_websocket http://localhost:43757/
[rosmaster.master][INFO] 2025-08-13 16:51:21,484: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-08-13 16:51:21,495: +SUB [/kelpie/leg_control/currents] /rosbridge_websocket http://localhost:43757/
[rosmaster.master][INFO] 2025-08-13 16:51:21,499: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-08-13 16:51:21,515: +SUB [/kelpie/battery/voltage] /rosbridge_websocket http://localhost:43757/
[rosmaster.master][INFO] 2025-08-13 16:51:21,519: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-08-13 16:51:21,537: +SUB [/kelpie/imu] /rosbridge_websocket http://localhost:43757/
[rosmaster.master][INFO] 2025-08-13 16:51:21,545: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-08-13 16:51:24,790: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-08-13 16:51:24,810: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-08-13 16:51:24,828: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-08-13 16:51:24,834: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-08-13 16:51:24,839: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-08-13 16:51:24,844: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-08-13 16:51:25,575: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-08-13 16:51:25,710: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-08-13 16:51:25,790: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-08-13 16:51:25,795: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-08-13 16:51:25,799: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-08-13 16:51:25,804: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-08-13 16:52:13,317: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-08-13 16:52:13,358: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-08-13 16:52:15,350: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-08-13 16:52:15,355: -SUB [/kelpie/leg_control/joint_states] /rosbridge_websocket http://localhost:43757/
[rosmaster.master][INFO] 2025-08-13 16:52:15,359: -SUB [/kelpie/leg_control/currents] /rosbridge_websocket http://localhost:43757/
[rosmaster.master][INFO] 2025-08-13 16:52:15,363: -SUB [/kelpie/battery/voltage] /rosbridge_websocket http://localhost:43757/
[rosmaster.master][INFO] 2025-08-13 16:52:15,367: -SUB [/kelpie/imu] /rosbridge_websocket http://localhost:43757/
[rosmaster.master][INFO] 2025-08-13 16:52:15,385: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-08-13 16:52:17,765: +PUB [/kelpie/command_input] /rosbridge_websocket http://localhost:43757/
[rosmaster.master][INFO] 2025-08-13 16:52:17,772: publisherUpdate[/kelpie/command_input] -> http://localhost:36475/ ['http://localhost:40481/', 'http://localhost:43757/']
[rosmaster.master][INFO] 2025-08-13 16:52:17,821: publisherUpdate[/kelpie/command_input] -> http://localhost:36475/ ['http://localhost:40481/', 'http://localhost:43757/']: sec=0.05, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-13 16:52:33,586: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-08-13 16:52:33,623: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-08-13 16:52:33,709: +SUB [/raspicam_node/image/compressed] /rosbridge_websocket http://localhost:43757/
[rosmaster.master][INFO] 2025-08-13 16:52:33,712: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-08-13 16:52:36,804: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-08-13 16:52:36,809: -SUB [/raspicam_node/image/compressed] /rosbridge_websocket http://localhost:43757/
[rosmaster.master][INFO] 2025-08-13 16:52:36,814: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-08-13 16:52:36,940: +SUB [/kelpie/leg_control/joint_states] /rosbridge_websocket http://localhost:43757/
[rosmaster.master][INFO] 2025-08-13 16:52:36,944: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-08-13 16:52:36,955: +SUB [/kelpie/leg_control/currents] /rosbridge_websocket http://localhost:43757/
[rosmaster.master][INFO] 2025-08-13 16:52:36,959: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-08-13 16:52:36,973: +SUB [/kelpie/battery/voltage] /rosbridge_websocket http://localhost:43757/
[rosmaster.master][INFO] 2025-08-13 16:52:36,977: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-08-13 16:52:36,991: +SUB [/kelpie/imu] /rosbridge_websocket http://localhost:43757/
[rosmaster.master][INFO] 2025-08-13 16:52:36,996: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-08-13 16:52:41,241: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-08-13 16:52:41,248: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-08-13 16:52:41,253: -SUB [/kelpie/leg_control/joint_states] /rosbridge_websocket http://localhost:43757/
[rosmaster.master][INFO] 2025-08-13 16:52:41,257: -SUB [/kelpie/leg_control/currents] /rosbridge_websocket http://localhost:43757/
[rosmaster.master][INFO] 2025-08-13 16:52:41,261: -SUB [/kelpie/battery/voltage] /rosbridge_websocket http://localhost:43757/
[rosmaster.master][INFO] 2025-08-13 16:52:41,265: -SUB [/kelpie/imu] /rosbridge_websocket http://localhost:43757/
[rosmaster.master][INFO] 2025-08-13 16:52:41,317: +SUB [/raspicam_node/image/compressed] /rosbridge_websocket http://localhost:43757/
[rosmaster.master][INFO] 2025-08-13 16:52:41,320: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-08-13 16:52:44,489: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-08-13 16:52:44,493: -SUB [/raspicam_node/image/compressed] /rosbridge_websocket http://localhost:43757/
[rosmaster.master][INFO] 2025-08-13 16:52:44,499: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
