[rosmaster.main][INFO] 2025-08-19 14:49:32,254: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-08-19 14:49:32,254: Starting ROS Master Node
[xmlrpc][INFO] 2025-08-19 14:49:32,256: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2025-08-19 14:49:32,257: Started XML-RPC server [http://10.176.33.207:11311/]
[rosmaster.master][INFO] 2025-08-19 14:49:32,257: Master initialized: port[11311], uri[http://10.176.33.207:11311/]
[xmlrpc][INFO] 2025-08-19 14:49:32,257: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-08-19 14:49:32,368: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 14:49:32,371: +PARAM [/roslaunch/uris/host_10_176_33_207__37659] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 14:49:32,503: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 14:49:32,503: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 14:49:32,513: +SERVICE [/rosout/get_loggers] /rosout http://10.176.33.207:39407/
[rosmaster.master][INFO] 2025-08-19 14:49:32,514: +SERVICE [/rosout/set_logger_level] /rosout http://10.176.33.207:39407/
[rosmaster.master][INFO] 2025-08-19 14:49:32,517: +PUB [/rosout_agg] /rosout http://10.176.33.207:39407/
[rosmaster.master][INFO] 2025-08-19 14:49:32,523: +SUB [/rosout] /rosout http://10.176.33.207:39407/
[rosmaster.master][INFO] 2025-08-19 14:51:48,014: +PARAM [/roslaunch/uris/host_10_176_33_207__43959] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 14:51:48,027: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 14:51:48,027: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 14:51:48,027: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 14:51:48,027: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 14:51:48,028: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 14:51:48,028: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 14:51:48,028: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 14:51:48,028: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 14:51:48,029: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 14:51:48,029: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 14:51:48,029: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 14:51:48,030: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 14:51:48,030: +PARAM [/rosbridge_websocket/websocket_ping_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 14:51:48,030: +PARAM [/rosbridge_websocket/websocket_external_port] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 14:51:48,030: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 14:51:48,031: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
