[rosmaster.main][INFO] 2025-08-11 16:17:47,330: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-08-11 16:17:47,330: Starting ROS Master Node
[xmlrpc][INFO] 2025-08-11 16:17:47,332: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-08-11 16:17:47,333: Started XML-RPC server [http://localhost:11311/]
[rosmaster.master][INFO] 2025-08-11 16:17:47,333: Master initialized: port[11311], uri[http://localhost:11311/]
[xmlrpc][INFO] 2025-08-11 16:17:47,333: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-08-11 16:17:47,352: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:17:47,356: +PARAM [/roslaunch/uris/host_localhost__32881] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:17:47,495: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:17:47,495: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:17:47,496: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:17:47,496: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:17:47,496: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:17:47,496: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:17:47,497: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:17:47,497: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:17:47,497: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:17:47,497: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:17:47,498: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:17:47,498: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:17:47,498: +PARAM [/rosbridge_websocket/websocket_ping_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:17:47,498: +PARAM [/rosbridge_websocket/websocket_external_port] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:17:47,499: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:17:47,499: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:17:47,499: +PARAM [/rosbridge_websocket/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:17:47,499: +PARAM [/rosbridge_websocket/bson_only_mode] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:17:47,500: +PARAM [/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:17:47,500: +PARAM [/rosapi/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:17:47,501: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:17:47,502: +PARAM [/JOYSTICK/autorepeat_rate] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:17:47,502: +PARAM [/JOYSTICK/joy_node/dev] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:17:47,504: +SERVICE [/rosout/get_loggers] /rosout http://localhost:42547/
[rosmaster.master][INFO] 2025-08-11 16:17:47,506: +SERVICE [/rosout/set_logger_level] /rosout http://localhost:42547/
[rosmaster.master][INFO] 2025-08-11 16:17:47,512: +PUB [/rosout_agg] /rosout http://localhost:42547/
