[rosmaster.main][INFO] 2025-08-13 16:01:08,153: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-08-13 16:01:08,153: Starting ROS Master Node
[xmlrpc][INFO] 2025-08-13 16:01:08,155: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-08-13 16:01:08,156: Started XML-RPC server [http://localhost:11311/]
[rosmaster.master][INFO] 2025-08-13 16:01:08,156: Master initialized: port[11311], uri[http://localhost:11311/]
[xmlrpc][INFO] 2025-08-13 16:01:08,156: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-08-13 16:01:08,183: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:01:08,186: +PARAM [/roslaunch/uris/host_localhost__46515] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:01:08,305: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:01:08,305: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:01:08,306: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:01:08,306: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:01:08,306: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:01:08,306: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:01:08,306: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:01:08,307: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:01:08,307: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:01:08,307: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:01:08,307: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
