[rosmaster.main][INFO] 2025-08-19 15:11:06,550: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-08-19 15:11:06,550: Starting ROS Master Node
[xmlrpc][INFO] 2025-08-19 15:11:06,552: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2025-08-19 15:11:06,553: Started XML-RPC server [http://10.176.33.207:11311/]
[rosmaster.master][INFO] 2025-08-19 15:11:06,553: Master initialized: port[11311], uri[http://10.176.33.207:11311/]
[xmlrpc][INFO] 2025-08-19 15:11:06,553: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-08-19 15:11:06,594: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 15:11:06,597: +PARAM [/roslaunch/uris/host_10_176_33_207__35893] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 15:11:06,738: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 15:11:06,738: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 15:11:06,750: +SERVICE [/rosout/get_loggers] /rosout http://10.176.33.207:38841/
[rosmaster.master][INFO] 2025-08-19 15:11:06,751: +SERVICE [/rosout/set_logger_level] /rosout http://10.176.33.207:38841/
[rosmaster.master][INFO] 2025-08-19 15:11:06,754: +PUB [/rosout_agg] /rosout http://10.176.33.207:38841/
[rosmaster.master][INFO] 2025-08-19 15:11:06,760: +SUB [/rosout] /rosout http://10.176.33.207:38841/
[rosmaster.master][INFO] 2025-08-19 15:11:09,760: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-08-19 15:11:09,846: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-08-19 15:11:09,936: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-08-19 15:11:09,943: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-08-19 15:11:09,947: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-08-19 15:11:09,952: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-08-19 15:11:13,440: +PARAM [/roslaunch/uris/host_localhost__45345] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 15:11:13,453: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 15:11:13,454: +PARAM [/rosdistro] by /roslaunch
