[rosmaster.main][INFO] 2025-08-11 14:16:10,868: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-08-11 14:16:10,869: Starting ROS Master Node
[xmlrpc][INFO] 2025-08-11 14:16:10,870: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-08-11 14:16:10,871: Started XML-RPC server [http://localhost:11311/]
[rosmaster.master][INFO] 2025-08-11 14:16:10,872: Master initialized: port[11311], uri[http://localhost:11311/]
[xmlrpc][INFO] 2025-08-11 14:16:10,872: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-08-11 14:16:10,886: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:16:10,889: +PARAM [/roslaunch/uris/host_localhost__45309] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:16:11,026: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:16:11,027: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:16:11,027: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:16:11,027: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:16:11,027: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:16:11,028: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:16:11,028: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:16:11,028: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:16:11,028: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:16:11,029: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:16:11,029: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:16:11,029: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:16:11,029: +PARAM [/rosbridge_websocket/websocket_ping_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:16:11,030: +PARAM [/rosbridge_websocket/websocket_external_port] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:16:11,030: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:16:11,030: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:16:11,030: +PARAM [/rosbridge_websocket/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:16:11,031: +PARAM [/rosbridge_websocket/bson_only_mode] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:16:11,031: +PARAM [/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:16:11,033: +PARAM [/rosapi/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:16:11,033: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:16:11,033: +PARAM [/JOYSTICK/autorepeat_rate] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:16:11,034: +PARAM [/JOYSTICK/joy_node/dev] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:16:11,035: +SERVICE [/rosout/get_loggers] /rosout http://localhost:40029/
[rosmaster.master][INFO] 2025-08-11 14:16:11,037: +SERVICE [/rosout/set_logger_level] /rosout http://localhost:40029/
[rosmaster.master][INFO] 2025-08-11 14:16:11,043: +PUB [/rosout_agg] /rosout http://localhost:40029/
[rosmaster.master][INFO] 2025-08-11 14:16:11,056: +SUB [/rosout] /rosout http://localhost:40029/
[rosmaster.master][INFO] 2025-08-11 14:16:11,290: +PUB [/rosout] /JOYSTICK http://localhost:46795/
[rosmaster.master][INFO] 2025-08-11 14:16:11,303: +SERVICE [/JOYSTICK/get_loggers] /JOYSTICK http://localhost:46795/
[rosmaster.master][INFO] 2025-08-11 14:16:11,306: +SERVICE [/JOYSTICK/set_logger_level] /JOYSTICK http://localhost:46795/
[rosmaster.master][INFO] 2025-08-11 14:16:11,310: +PUB [/diagnostics] /JOYSTICK http://localhost:46795/
[rosmaster.master][INFO] 2025-08-11 14:16:11,312: +CACHEDPARAM [/JOYSTICK/diagnostic_period] by /JOYSTICK
[rosmaster.master][INFO] 2025-08-11 14:16:11,324: +PUB [/joy] /JOYSTICK http://localhost:46795/
[rosmaster.master][INFO] 2025-08-11 14:16:11,343: +SUB [/joy/set_feedback] /JOYSTICK http://localhost:46795/
[rosmaster.master][INFO] 2025-08-11 14:16:11,368: +CACHEDPARAM [/rosout_disable_topics_generation] by /JOYSTICK
[rosmaster.master][INFO] 2025-08-11 14:16:11,372: publisherUpdate[/rosout] -> http://localhost:40029/ ['http://localhost:46795/']
[rosmaster.master][INFO] 2025-08-11 14:16:11,404: publisherUpdate[/rosout] -> http://localhost:40029/ ['http://localhost:46795/']: sec=0.03, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-11 14:16:12,747: +PUB [/rosout] /rosapi http://localhost:46811/
[rosmaster.master][INFO] 2025-08-11 14:16:12,755: +PUB [/rosout] /kelpie http://localhost:36397/
[rosmaster.master][INFO] 2025-08-11 14:16:12,758: +SERVICE [/rosapi/get_loggers] /rosapi http://localhost:46811/
[rosmaster.master][INFO] 2025-08-11 14:16:12,762: +SERVICE [/rosapi/set_logger_level] /rosapi http://localhost:46811/
[rosmaster.master][INFO] 2025-08-11 14:16:12,766: +SERVICE [/kelpie/get_loggers] /kelpie http://localhost:36397/
[rosmaster.master][INFO] 2025-08-11 14:16:12,775: +SERVICE [/kelpie/set_logger_level] /kelpie http://localhost:36397/
[rosmaster.master][INFO] 2025-08-11 14:16:12,783: +SERVICE [/rosapi/topics] /rosapi http://localhost:46811/
[rosmaster.master][INFO] 2025-08-11 14:16:12,785: +SUB [/kelpie/imu] /kelpie http://localhost:36397/
[rosmaster.master][INFO] 2025-08-11 14:16:12,786: publisherUpdate[/rosout] -> http://localhost:40029/ ['http://localhost:46795/', 'http://localhost:46811/']
[rosmaster.master][INFO] 2025-08-11 14:16:12,789: +SERVICE [/rosapi/topics_for_type] /rosapi http://localhost:46811/
[rosmaster.master][INFO] 2025-08-11 14:16:12,793: publisherUpdate[/rosout] -> http://localhost:40029/ ['http://localhost:46795/', 'http://localhost:46811/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-11 14:16:12,795: publisherUpdate[/rosout] -> http://localhost:40029/ ['http://localhost:46795/', 'http://localhost:46811/', 'http://localhost:36397/']
[rosmaster.master][INFO] 2025-08-11 14:16:12,798: +SUB [/kelpie/leg_control/currents] /kelpie http://localhost:36397/
[rosmaster.master][INFO] 2025-08-11 14:16:12,799: publisherUpdate[/rosout] -> http://localhost:40029/ ['http://localhost:46795/', 'http://localhost:46811/', 'http://localhost:36397/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-11 14:16:12,801: +SERVICE [/rosapi/services] /rosapi http://localhost:46811/
[rosmaster.master][INFO] 2025-08-11 14:16:12,807: +SUB [/kelpie/battery/voltage] /kelpie http://localhost:36397/
[rosmaster.master][INFO] 2025-08-11 14:16:12,810: +SERVICE [/rosapi/services_for_type] /rosapi http://localhost:46811/
[rosmaster.master][INFO] 2025-08-11 14:16:12,812: +PUB [/kelpie/leg_control/joint_states] /kelpie http://localhost:36397/
[rosmaster.master][INFO] 2025-08-11 14:16:12,815: +SERVICE [/rosapi/nodes] /rosapi http://localhost:46811/
[rosmaster.master][INFO] 2025-08-11 14:16:12,819: +SERVICE [/rosapi/node_details] /rosapi http://localhost:46811/
[rosmaster.master][INFO] 2025-08-11 14:16:12,822: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-08-11 14:16:12,823: +SERVICE [/rosapi/action_servers] /rosapi http://localhost:46811/
[rosmaster.master][INFO] 2025-08-11 14:16:12,828: +SERVICE [/rosapi/topic_type] /rosapi http://localhost:46811/
[rosmaster.master][INFO] 2025-08-11 14:16:12,832: +SUB [/kelpie/command_input] /kelpie http://localhost:36397/
[rosmaster.master][INFO] 2025-08-11 14:16:12,833: +SERVICE [/rosapi/service_type] /rosapi http://localhost:46811/
[rosmaster.master][INFO] 2025-08-11 14:16:12,837: +SERVICE [/rosapi/publishers] /rosapi http://localhost:46811/
[rosmaster.master][INFO] 2025-08-11 14:16:12,839: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-08-11 14:16:12,842: +SERVICE [/rosapi/subscribers] /rosapi http://localhost:46811/
[rosmaster.master][INFO] 2025-08-11 14:16:12,845: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-08-11 14:16:12,846: +SERVICE [/rosapi/service_providers] /rosapi http://localhost:46811/
[rosmaster.master][INFO] 2025-08-11 14:16:12,851: +SERVICE [/rosapi/service_node] /rosapi http://localhost:46811/
[rosmaster.master][INFO] 2025-08-11 14:16:12,852: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-08-11 14:16:12,855: +SERVICE [/rosapi/service_host] /rosapi http://localhost:46811/
[rosmaster.master][INFO] 2025-08-11 14:16:12,857: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-08-11 14:16:12,859: +SERVICE [/rosapi/message_details] /rosapi http://localhost:46811/
[rosmaster.master][INFO] 2025-08-11 14:16:12,863: +SERVICE [/rosapi/service_request_details] /rosapi http://localhost:46811/
[rosmaster.master][INFO] 2025-08-11 14:16:12,864: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-08-11 14:16:12,867: +SERVICE [/rosapi/service_response_details] /rosapi http://localhost:46811/
[rosmaster.master][INFO] 2025-08-11 14:16:12,869: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-08-11 14:16:12,871: +SERVICE [/rosapi/set_param] /rosapi http://localhost:46811/
[rosmaster.master][INFO] 2025-08-11 14:16:12,875: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-08-11 14:16:12,877: +SERVICE [/rosapi/get_param] /rosapi http://localhost:46811/
[rosmaster.master][INFO] 2025-08-11 14:16:12,883: +SERVICE [/rosapi/has_param] /rosapi http://localhost:46811/
[rosmaster.master][INFO] 2025-08-11 14:16:12,887: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-08-11 14:16:12,891: +SERVICE [/rosapi/search_param] /rosapi http://localhost:46811/
[rosmaster.master][INFO] 2025-08-11 14:16:12,902: +SERVICE [/rosapi/delete_param] /rosapi http://localhost:46811/
[rosmaster.master][INFO] 2025-08-11 14:16:12,909: +SERVICE [/rosapi/get_param_names] /rosapi http://localhost:46811/
[rosmaster.master][INFO] 2025-08-11 14:16:12,916: +SERVICE [/rosapi/get_time] /rosapi http://localhost:46811/
[rosmaster.master][INFO] 2025-08-11 14:16:12,921: +SERVICE [/rosapi/topics_and_raw_types] /rosapi http://localhost:46811/
[rosmaster.master][INFO] 2025-08-11 14:16:12,927: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosapi
[rosmaster.master][INFO] 2025-08-11 14:16:13,011: +CACHEDPARAM [/rosout/omit_topics] by /rosout
[rosmaster.master][INFO] 2025-08-11 14:16:13,572: +PUB [/rosout] /rosbridge_websocket http://localhost:38653/
[rosmaster.master][INFO] 2025-08-11 14:16:13,579: +SERVICE [/rosbridge_websocket/get_loggers] /rosbridge_websocket http://localhost:38653/
[rosmaster.master][INFO] 2025-08-11 14:16:13,582: +SERVICE [/rosbridge_websocket/set_logger_level] /rosbridge_websocket http://localhost:38653/
[rosmaster.master][INFO] 2025-08-11 14:16:13,590: publisherUpdate[/rosout] -> http://localhost:40029/ ['http://localhost:46795/', 'http://localhost:46811/', 'http://localhost:36397/', 'http://localhost:38653/']
[rosmaster.master][INFO] 2025-08-11 14:16:13,594: publisherUpdate[/rosout] -> http://localhost:40029/ ['http://localhost:46795/', 'http://localhost:46811/', 'http://localhost:36397/', 'http://localhost:38653/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-11 14:16:13,615: +PUB [/client_count] /rosbridge_websocket http://localhost:38653/
[rosmaster.master][INFO] 2025-08-11 14:16:13,618: +PUB [/connected_clients] /rosbridge_websocket http://localhost:38653/
[rosmaster.master][INFO] 2025-08-11 14:16:13,625: +PARAM [/rosbridge_websocket/actual_port] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-08-11 14:16:13,631: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-08-11 14:16:45,229: -PUB [/rosout] /rosbridge_websocket http://localhost:38653/
[rosmaster.master][INFO] 2025-08-11 14:16:45,233: -PUB [/rosout] /rosapi http://localhost:46811/
[rosmaster.master][INFO] 2025-08-11 14:16:45,233: -PUB [/client_count] /rosbridge_websocket http://localhost:38653/
[rosmaster.master][INFO] 2025-08-11 14:16:45,234: -SERVICE [/rosapi/get_loggers] /rosapi rosrpc://localhost:37363
[rosmaster.master][INFO] 2025-08-11 14:16:45,234: -PUB [/connected_clients] /rosbridge_websocket http://localhost:38653/
