[rosmaster.main][INFO] 2025-08-11 12:50:17,235: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-08-11 12:50:17,235: Starting ROS Master Node
[xmlrpc][INFO] 2025-08-11 12:50:17,237: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-08-11 12:50:17,238: Started XML-RPC server [http://localhost:11311/]
[rosmaster.master][INFO] 2025-08-11 12:50:17,238: Master initialized: port[11311], uri[http://localhost:11311/]
[xmlrpc][INFO] 2025-08-11 12:50:17,238: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-08-11 12:50:17,263: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:50:17,266: +PARAM [/roslaunch/uris/host_localhost__43411] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:50:17,386: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:50:17,386: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:50:17,387: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:50:17,387: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:50:17,387: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:50:17,387: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:50:17,387: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:50:17,388: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:50:17,388: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:50:17,388: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:50:17,388: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:50:17,389: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:50:17,389: +PARAM [/rosbridge_websocket/websocket_ping_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:50:17,389: +PARAM [/rosbridge_websocket/websocket_external_port] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:50:17,389: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:50:17,390: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:50:17,390: +PARAM [/rosbridge_websocket/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:50:17,390: +PARAM [/rosbridge_websocket/bson_only_mode] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:50:17,390: +PARAM [/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:50:17,391: +PARAM [/rosapi/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:50:17,391: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:50:17,569: +SERVICE [/rosout/get_loggers] /rosout http://localhost:36641/
[rosmaster.master][INFO] 2025-08-11 12:50:17,571: +SERVICE [/rosout/set_logger_level] /rosout http://localhost:36641/
[rosmaster.master][INFO] 2025-08-11 12:50:17,576: +PUB [/rosout_agg] /rosout http://localhost:36641/
[rosmaster.master][INFO] 2025-08-11 12:50:17,586: +SUB [/rosout] /rosout http://localhost:36641/
[rosmaster.master][INFO] 2025-08-11 12:50:18,769: +PUB [/rosout] /rosapi http://localhost:34815/
[rosmaster.master][INFO] 2025-08-11 12:50:18,776: +SERVICE [/rosapi/get_loggers] /rosapi http://localhost:34815/
[rosmaster.master][INFO] 2025-08-11 12:50:18,779: +SERVICE [/rosapi/set_logger_level] /rosapi http://localhost:34815/
[rosmaster.master][INFO] 2025-08-11 12:50:18,788: +SERVICE [/rosapi/topics] /rosapi http://localhost:34815/
[rosmaster.master][INFO] 2025-08-11 12:50:18,791: +SERVICE [/rosapi/topics_for_type] /rosapi http://localhost:34815/
[rosmaster.master][INFO] 2025-08-11 12:50:18,794: +SERVICE [/rosapi/services] /rosapi http://localhost:34815/
[rosmaster.master][INFO] 2025-08-11 12:50:18,796: +SERVICE [/rosapi/services_for_type] /rosapi http://localhost:34815/
[rosmaster.master][INFO] 2025-08-11 12:50:18,799: +SERVICE [/rosapi/nodes] /rosapi http://localhost:34815/
[rosmaster.master][INFO] 2025-08-11 12:50:18,802: +SERVICE [/rosapi/node_details] /rosapi http://localhost:34815/
[rosmaster.master][INFO] 2025-08-11 12:50:18,805: +SERVICE [/rosapi/action_servers] /rosapi http://localhost:34815/
[rosmaster.master][INFO] 2025-08-11 12:50:18,808: +SERVICE [/rosapi/topic_type] /rosapi http://localhost:34815/
[rosmaster.master][INFO] 2025-08-11 12:50:18,811: +SERVICE [/rosapi/service_type] /rosapi http://localhost:34815/
[rosmaster.master][INFO] 2025-08-11 12:50:18,814: +SERVICE [/rosapi/publishers] /rosapi http://localhost:34815/
[rosmaster.master][INFO] 2025-08-11 12:50:18,817: +SERVICE [/rosapi/subscribers] /rosapi http://localhost:34815/
[rosmaster.master][INFO] 2025-08-11 12:50:18,820: +SERVICE [/rosapi/service_providers] /rosapi http://localhost:34815/
[rosmaster.master][INFO] 2025-08-11 12:50:18,823: +SERVICE [/rosapi/service_node] /rosapi http://localhost:34815/
[rosmaster.master][INFO] 2025-08-11 12:50:18,827: +SERVICE [/rosapi/service_host] /rosapi http://localhost:34815/
[rosmaster.master][INFO] 2025-08-11 12:50:18,830: +SERVICE [/rosapi/message_details] /rosapi http://localhost:34815/
[rosmaster.master][INFO] 2025-08-11 12:50:18,833: +SERVICE [/rosapi/service_request_details] /rosapi http://localhost:34815/
[rosmaster.master][INFO] 2025-08-11 12:50:18,836: +SERVICE [/rosapi/service_response_details] /rosapi http://localhost:34815/
[rosmaster.master][INFO] 2025-08-11 12:50:18,839: +SERVICE [/rosapi/set_param] /rosapi http://localhost:34815/
[rosmaster.master][INFO] 2025-08-11 12:50:18,839: publisherUpdate[/rosout] -> http://localhost:36641/ ['http://localhost:34815/']
[rosmaster.master][INFO] 2025-08-11 12:50:18,843: +SERVICE [/rosapi/get_param] /rosapi http://localhost:34815/
[rosmaster.master][INFO] 2025-08-11 12:50:18,850: +SERVICE [/rosapi/has_param] /rosapi http://localhost:34815/
[rosmaster.master][INFO] 2025-08-11 12:50:18,854: publisherUpdate[/rosout] -> http://localhost:36641/ ['http://localhost:34815/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-11 12:50:18,855: +SERVICE [/rosapi/search_param] /rosapi http://localhost:34815/
[rosmaster.master][INFO] 2025-08-11 12:50:18,858: +SERVICE [/rosapi/delete_param] /rosapi http://localhost:34815/
[rosmaster.master][INFO] 2025-08-11 12:50:18,861: +SERVICE [/rosapi/get_param_names] /rosapi http://localhost:34815/
[rosmaster.master][INFO] 2025-08-11 12:50:18,864: +SERVICE [/rosapi/get_time] /rosapi http://localhost:34815/
[rosmaster.master][INFO] 2025-08-11 12:50:18,867: +SERVICE [/rosapi/topics_and_raw_types] /rosapi http://localhost:34815/
