[rosmaster.main][INFO] 2025-08-14 17:25:58,033: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-08-14 17:25:58,034: Starting ROS Master Node
[xmlrpc][INFO] 2025-08-14 17:25:58,036: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-08-14 17:25:58,037: Started XML-RPC server [http://localhost:11311/]
[rosmaster.master][INFO] 2025-08-14 17:25:58,037: Master initialized: port[11311], uri[http://localhost:11311/]
[xmlrpc][INFO] 2025-08-14 17:25:58,037: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-08-14 17:25:58,156: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 17:25:58,159: +PARAM [/roslaunch/uris/host_localhost__38141] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 17:25:58,295: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 17:25:58,296: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 17:25:58,296: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 17:25:58,296: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 17:25:58,297: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 17:25:58,297: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 17:25:58,297: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 17:25:58,297: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 17:25:58,298: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 17:25:58,298: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 17:25:58,298: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 17:25:58,298: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 17:25:58,298: +PARAM [/rosbridge_websocket/websocket_ping_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 17:25:58,299: +PARAM [/rosbridge_websocket/websocket_external_port] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 17:25:58,299: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 17:25:58,299: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 17:25:58,299: +PARAM [/rosbridge_websocket/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 17:25:58,299: +PARAM [/rosbridge_websocket/bson_only_mode] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 17:25:58,300: +PARAM [/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 17:25:58,300: +PARAM [/rosapi/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 17:25:58,301: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 17:25:58,302: +PARAM [/JOYSTICK/autorepeat_rate] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 17:25:58,302: +PARAM [/JOYSTICK/joy_node/dev] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 17:25:58,305: +SERVICE [/rosout/get_loggers] /rosout http://localhost:36315/
[rosmaster.master][INFO] 2025-08-14 17:25:58,308: +SERVICE [/rosout/set_logger_level] /rosout http://localhost:36315/
[rosmaster.master][INFO] 2025-08-14 17:25:58,314: +PUB [/rosout_agg] /rosout http://localhost:36315/
[rosmaster.master][INFO] 2025-08-14 17:25:58,326: +SUB [/rosout] /rosout http://localhost:36315/
[rosmaster.master][INFO] 2025-08-14 17:25:58,551: +PUB [/rosout] /JOYSTICK http://localhost:39919/
[rosmaster.master][INFO] 2025-08-14 17:25:58,554: +SERVICE [/JOYSTICK/get_loggers] /JOYSTICK http://localhost:39919/
[rosmaster.master][INFO] 2025-08-14 17:25:58,562: +SERVICE [/JOYSTICK/set_logger_level] /JOYSTICK http://localhost:39919/
[rosmaster.master][INFO] 2025-08-14 17:25:58,574: +PUB [/diagnostics] /JOYSTICK http://localhost:39919/
[rosmaster.master][INFO] 2025-08-14 17:25:58,577: +CACHEDPARAM [/JOYSTICK/diagnostic_period] by /JOYSTICK
[rosmaster.master][INFO] 2025-08-14 17:25:58,581: +PUB [/joy] /JOYSTICK http://localhost:39919/
[rosmaster.master][INFO] 2025-08-14 17:25:58,600: +SUB [/joy/set_feedback] /JOYSTICK http://localhost:39919/
[rosmaster.master][INFO] 2025-08-14 17:25:58,636: publisherUpdate[/rosout] -> http://localhost:36315/ ['http://localhost:39919/']
[rosmaster.master][INFO] 2025-08-14 17:25:58,653: publisherUpdate[/rosout] -> http://localhost:36315/ ['http://localhost:39919/']: sec=0.02, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-14 17:25:58,711: +CACHEDPARAM [/rosout_disable_topics_generation] by /JOYSTICK
[rosmaster.master][INFO] 2025-08-14 17:26:00,026: +PUB [/rosout] /rosapi http://localhost:44177/
[rosmaster.master][INFO] 2025-08-14 17:26:00,033: +SERVICE [/rosapi/get_loggers] /rosapi http://localhost:44177/
[rosmaster.master][INFO] 2025-08-14 17:26:00,036: +SERVICE [/rosapi/set_logger_level] /rosapi http://localhost:44177/
[rosmaster.master][INFO] 2025-08-14 17:26:00,042: publisherUpdate[/rosout] -> http://localhost:36315/ ['http://localhost:39919/', 'http://localhost:44177/']
[rosmaster.master][INFO] 2025-08-14 17:26:00,047: publisherUpdate[/rosout] -> http://localhost:36315/ ['http://localhost:39919/', 'http://localhost:44177/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-14 17:26:00,047: +SERVICE [/rosapi/topics] /rosapi http://localhost:44177/
[rosmaster.master][INFO] 2025-08-14 17:26:00,051: +SERVICE [/rosapi/topics_for_type] /rosapi http://localhost:44177/
[rosmaster.master][INFO] 2025-08-14 17:26:00,055: +SERVICE [/rosapi/services] /rosapi http://localhost:44177/
[rosmaster.master][INFO] 2025-08-14 17:26:00,058: +SERVICE [/rosapi/services_for_type] /rosapi http://localhost:44177/
[rosmaster.master][INFO] 2025-08-14 17:26:00,061: +SERVICE [/rosapi/nodes] /rosapi http://localhost:44177/
[rosmaster.master][INFO] 2025-08-14 17:26:00,064: +SERVICE [/rosapi/node_details] /rosapi http://localhost:44177/
[rosmaster.master][INFO] 2025-08-14 17:26:00,066: +SERVICE [/rosapi/action_servers] /rosapi http://localhost:44177/
[rosmaster.master][INFO] 2025-08-14 17:26:00,069: +SERVICE [/rosapi/topic_type] /rosapi http://localhost:44177/
[rosmaster.master][INFO] 2025-08-14 17:26:00,072: +SERVICE [/rosapi/service_type] /rosapi http://localhost:44177/
