[rosmaster.main][INFO] 2025-08-13 17:34:27,922: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-08-13 17:34:27,923: Starting ROS Master Node
[xmlrpc][INFO] 2025-08-13 17:34:27,924: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-08-13 17:34:27,925: Started XML-RPC server [http://localhost:11311/]
[rosmaster.master][INFO] 2025-08-13 17:34:27,925: Master initialized: port[11311], uri[http://localhost:11311/]
[xmlrpc][INFO] 2025-08-13 17:34:27,926: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-08-13 17:34:28,041: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:34:28,044: +PARAM [/roslaunch/uris/host_localhost__36279] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:34:28,180: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:34:28,181: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:34:28,181: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:34:28,181: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:34:28,181: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:34:28,182: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:34:28,182: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:34:28,182: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:34:28,182: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:34:28,183: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:34:28,183: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:34:28,183: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:34:28,183: +PARAM [/rosbridge_websocket/websocket_ping_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:34:28,184: +PARAM [/rosbridge_websocket/websocket_external_port] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:34:28,184: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:34:28,184: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:34:28,184: +PARAM [/rosbridge_websocket/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:34:28,185: +PARAM [/rosbridge_websocket/bson_only_mode] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:34:28,185: +PARAM [/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:34:28,186: +PARAM [/rosapi/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:34:28,187: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:34:28,190: +SERVICE [/rosout/get_loggers] /rosout http://localhost:44109/
[rosmaster.master][INFO] 2025-08-13 17:34:28,193: +SERVICE [/rosout/set_logger_level] /rosout http://localhost:44109/
[rosmaster.master][INFO] 2025-08-13 17:34:28,199: +PUB [/rosout_agg] /rosout http://localhost:44109/
[rosmaster.master][INFO] 2025-08-13 17:34:28,211: +SUB [/rosout] /rosout http://localhost:44109/
[rosmaster.master][INFO] 2025-08-13 17:34:30,148: +PUB [/rosout] /kelpie http://localhost:43501/
[rosmaster.master][INFO] 2025-08-13 17:34:30,152: +PUB [/rosout] /rosapi http://localhost:40285/
[rosmaster.master][INFO] 2025-08-13 17:34:30,161: +SERVICE [/kelpie/get_loggers] /kelpie http://localhost:43501/
[rosmaster.master][INFO] 2025-08-13 17:34:30,165: +SERVICE [/kelpie/set_logger_level] /kelpie http://localhost:43501/
[rosmaster.master][INFO] 2025-08-13 17:34:30,167: +SERVICE [/rosapi/get_loggers] /rosapi http://localhost:40285/
[rosmaster.master][INFO] 2025-08-13 17:34:30,172: +SERVICE [/rosapi/set_logger_level] /rosapi http://localhost:40285/
[rosmaster.master][INFO] 2025-08-13 17:34:30,183: +SUB [/kelpie/imu] /kelpie http://localhost:43501/
[rosmaster.master][INFO] 2025-08-13 17:34:30,190: +SERVICE [/rosapi/topics] /rosapi http://localhost:40285/
