[rosmaster.main][INFO] 2025-09-04 14:31:07,111: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-09-04 14:31:07,112: Starting ROS Master Node
[xmlrpc][INFO] 2025-09-04 14:31:07,113: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2025-09-04 14:31:07,114: Started XML-RPC server [http://192.168.137.127:11311/]
[rosmaster.master][INFO] 2025-09-04 14:31:07,114: Master initialized: port[11311], uri[http://192.168.137.127:11311/]
[xmlrpc][INFO] 2025-09-04 14:31:07,115: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-09-04 14:31:07,222: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 14:31:07,225: +PARAM [/roslaunch/uris/host_192_168_137_127__46825] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 14:31:07,375: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 14:31:07,375: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 14:31:07,556: +SERVICE [/rosout/get_loggers] /rosout http://192.168.137.127:40377/
[rosmaster.master][INFO] 2025-09-04 14:31:07,558: +SERVICE [/rosout/set_logger_level] /rosout http://192.168.137.127:40377/
[rosmaster.master][INFO] 2025-09-04 14:31:07,563: +PUB [/rosout_agg] /rosout http://192.168.137.127:40377/
[rosmaster.master][INFO] 2025-09-04 14:31:07,569: +SUB [/rosout] /rosout http://192.168.137.127:40377/
[rosmaster.master][INFO] 2025-09-04 14:32:25,199: +PARAM [/roslaunch/uris/host_192_168_137_127__44349] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 14:32:25,212: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 14:32:25,212: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 14:32:25,212: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 14:32:25,212: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 14:32:25,213: +PARAM [/rosbridge_websocket/address] by /roslaunch
