[rosmaster.main][INFO] 2025-08-20 15:46:11,769: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-08-20 15:46:11,769: Starting ROS Master Node
[xmlrpc][INFO] 2025-08-20 15:46:11,771: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2025-08-20 15:46:11,772: Started XML-RPC server [http://kelpie2:11311/]
[rosmaster.master][INFO] 2025-08-20 15:46:11,772: Master initialized: port[11311], uri[http://kelpie2:11311/]
[xmlrpc][INFO] 2025-08-20 15:46:11,772: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-08-20 15:46:11,883: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 15:46:11,886: +PARAM [/roslaunch/uris/host_kelpie2__41315] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 15:46:12,038: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 15:46:12,039: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 15:46:12,216: +SERVICE [/rosout/get_loggers] /rosout http://kelpie2:45917/
[rosmaster.master][INFO] 2025-08-20 15:46:12,218: +SERVICE [/rosout/set_logger_level] /rosout http://kelpie2:45917/
[rosmaster.master][INFO] 2025-08-20 15:46:12,222: +PUB [/rosout_agg] /rosout http://kelpie2:45917/
[rosmaster.master][INFO] 2025-08-20 15:46:12,229: +SUB [/rosout] /rosout http://kelpie2:45917/
[rosmaster.master][INFO] 2025-08-20 15:48:16,593: +PARAM [/roslaunch/uris/host_kelpie2__45877] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 15:48:16,605: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 15:48:16,605: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 15:48:16,606: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 15:48:16,606: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 15:48:16,606: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 15:48:16,606: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 15:48:16,606: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 15:48:16,607: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 15:48:16,607: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 15:48:16,607: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 15:48:16,607: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 15:48:16,607: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 15:48:16,608: +PARAM [/rosbridge_websocket/websocket_ping_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 15:48:16,608: +PARAM [/rosbridge_websocket/websocket_external_port] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 15:48:16,608: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 15:48:16,608: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 15:48:16,608: +PARAM [/rosbridge_websocket/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 15:48:16,609: +PARAM [/rosbridge_websocket/bson_only_mode] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 15:48:16,609: +PARAM [/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 15:48:16,609: +PARAM [/rosapi/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 15:48:16,609: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 15:48:16,609: +PARAM [/JOYSTICK/autorepeat_rate] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 15:48:16,610: +PARAM [/JOYSTICK/joy_node/dev] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 15:48:17,051: +PUB [/rosout] /JOYSTICK http://kelpie2:46535/
[rosmaster.master][INFO] 2025-08-20 15:48:17,053: +SERVICE [/JOYSTICK/get_loggers] /JOYSTICK http://kelpie2:46535/
[rosmaster.master][INFO] 2025-08-20 15:48:17,055: +SERVICE [/JOYSTICK/set_logger_level] /JOYSTICK http://kelpie2:46535/
[rosmaster.master][INFO] 2025-08-20 15:48:17,058: +PUB [/diagnostics] /JOYSTICK http://kelpie2:46535/
[rosmaster.master][INFO] 2025-08-20 15:48:17,064: +CACHEDPARAM [/JOYSTICK/diagnostic_period] by /JOYSTICK
[rosmaster.master][INFO] 2025-08-20 15:48:17,070: +PUB [/joy] /JOYSTICK http://kelpie2:46535/
[rosmaster.master][INFO] 2025-08-20 15:48:17,079: publisherUpdate[/rosout] -> http://kelpie2:45917/ ['http://kelpie2:46535/']
[rosmaster.master][INFO] 2025-08-20 15:48:17,097: +SUB [/joy/set_feedback] /JOYSTICK http://kelpie2:46535/
[rosmaster.master][INFO] 2025-08-20 15:48:17,101: publisherUpdate[/rosout] -> http://kelpie2:45917/ ['http://kelpie2:46535/']: sec=0.02, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-20 15:48:17,185: +CACHEDPARAM [/rosout_disable_topics_generation] by /JOYSTICK
[rosmaster.master][INFO] 2025-08-20 15:48:18,576: +PUB [/rosout] /rosapi http://kelpie2:37267/
[rosmaster.master][INFO] 2025-08-20 15:48:18,584: publisherUpdate[/rosout] -> http://kelpie2:45917/ ['http://kelpie2:46535/', 'http://kelpie2:37267/']
[rosmaster.master][INFO] 2025-08-20 15:48:18,585: +SERVICE [/rosapi/get_loggers] /rosapi http://kelpie2:37267/
[rosmaster.master][INFO] 2025-08-20 15:48:18,588: publisherUpdate[/rosout] -> http://kelpie2:45917/ ['http://kelpie2:46535/', 'http://kelpie2:37267/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-20 15:48:18,590: +SERVICE [/rosapi/set_logger_level] /rosapi http://kelpie2:37267/
[rosmaster.master][INFO] 2025-08-20 15:48:18,602: +SERVICE [/rosapi/topics] /rosapi http://kelpie2:37267/
[rosmaster.master][INFO] 2025-08-20 15:48:18,605: +SERVICE [/rosapi/topics_for_type] /rosapi http://kelpie2:37267/
[rosmaster.master][INFO] 2025-08-20 15:48:18,609: +SERVICE [/rosapi/services] /rosapi http://kelpie2:37267/
[rosmaster.master][INFO] 2025-08-20 15:48:18,612: +SERVICE [/rosapi/services_for_type] /rosapi http://kelpie2:37267/
[rosmaster.master][INFO] 2025-08-20 15:48:18,616: +SERVICE [/rosapi/nodes] /rosapi http://kelpie2:37267/
[rosmaster.master][INFO] 2025-08-20 15:48:18,619: +SERVICE [/rosapi/node_details] /rosapi http://kelpie2:37267/
[rosmaster.master][INFO] 2025-08-20 15:48:18,628: +SERVICE [/rosapi/action_servers] /rosapi http://kelpie2:37267/
[rosmaster.master][INFO] 2025-08-20 15:48:18,631: +SERVICE [/rosapi/topic_type] /rosapi http://kelpie2:37267/
[rosmaster.master][INFO] 2025-08-20 15:48:18,634: +SERVICE [/rosapi/service_type] /rosapi http://kelpie2:37267/
[rosmaster.master][INFO] 2025-08-20 15:48:18,637: +SERVICE [/rosapi/publishers] /rosapi http://kelpie2:37267/
[rosmaster.master][INFO] 2025-08-20 15:48:18,640: +SERVICE [/rosapi/subscribers] /rosapi http://kelpie2:37267/
[rosmaster.master][INFO] 2025-08-20 15:48:18,643: +SERVICE [/rosapi/service_providers] /rosapi http://kelpie2:37267/
[rosmaster.master][INFO] 2025-08-20 15:48:18,646: +SERVICE [/rosapi/service_node] /rosapi http://kelpie2:37267/
[rosmaster.master][INFO] 2025-08-20 15:48:18,649: +SERVICE [/rosapi/service_host] /rosapi http://kelpie2:37267/
[rosmaster.master][INFO] 2025-08-20 15:48:18,653: +SERVICE [/rosapi/message_details] /rosapi http://kelpie2:37267/
[rosmaster.master][INFO] 2025-08-20 15:48:18,656: +SERVICE [/rosapi/service_request_details] /rosapi http://kelpie2:37267/
[rosmaster.master][INFO] 2025-08-20 15:48:18,660: +SERVICE [/rosapi/service_response_details] /rosapi http://kelpie2:37267/
[rosmaster.master][INFO] 2025-08-20 15:48:18,664: +SERVICE [/rosapi/set_param] /rosapi http://kelpie2:37267/
[rosmaster.master][INFO] 2025-08-20 15:48:18,668: +PUB [/rosout] /kelpie http://kelpie2:44399/
[rosmaster.master][INFO] 2025-08-20 15:48:18,670: +SERVICE [/rosapi/get_param] /rosapi http://kelpie2:37267/
[rosmaster.master][INFO] 2025-08-20 15:48:18,677: +SERVICE [/kelpie/get_loggers] /kelpie http://kelpie2:44399/
[rosmaster.master][INFO] 2025-08-20 15:48:18,679: +SERVICE [/rosapi/has_param] /rosapi http://kelpie2:37267/
[rosmaster.master][INFO] 2025-08-20 15:48:18,683: +SERVICE [/kelpie/set_logger_level] /kelpie http://kelpie2:44399/
[rosmaster.master][INFO] 2025-08-20 15:48:18,685: +SERVICE [/rosapi/search_param] /rosapi http://kelpie2:37267/
[rosmaster.master][INFO] 2025-08-20 15:48:18,690: +SERVICE [/rosapi/delete_param] /rosapi http://kelpie2:37267/
[rosmaster.master][INFO] 2025-08-20 15:48:18,690: publisherUpdate[/rosout] -> http://kelpie2:45917/ ['http://kelpie2:46535/', 'http://kelpie2:37267/', 'http://kelpie2:44399/']
